symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
159112.SZ,科创债ETF银华,1758643200000,2025-09-24,2025-09-24 00:00:00,100.0,100.001,99.978,99.981,332320.0,3322695005.0
159112.SZ,科创债ETF银华,1758729600000,2025-09-25,2025-09-25 00:00:00,99.933,99.933,99.562,99.63,310408.0,3092249824.0
159112.SZ,科创债ETF银华,1758816000000,2025-09-26,2025-09-26 00:00:00,99.652,99.751,99.652,99.745,555587.0,5538159477.0
159112.SZ,科创债ETF银华,1759075200000,2025-09-29,2025-09-29 00:00:00,99.798,99.879,99.798,99.814,558694.0,5577366197.0
159112.SZ,科创债ETF银华,1759161600000,2025-09-30,2025-09-30 00:00:00,99.789,99.89,99.789,99.888,434873.0,4343715536.0
159112.SZ,科创债ETF银华,1759939200000,2025-10-09,2025-10-09 00:00:00,99.89,99.89,99.779,99.779,442552.0,4419146793.0
159112.SZ,科创债ETF银华,1760025600000,2025-10-10,2025-10-10 00:00:00,99.742,99.815,99.742,99.79,314212.0,3135866929.0
159112.SZ,科创债ETF银华,1760284800000,2025-10-13,2025-10-13 00:00:00,99.79,99.833,99.756,99.778,463895.0,4630070039.0
159112.SZ,科创债ETF银华,1760371200000,2025-10-14,2025-10-14 00:00:00,99.721,99.779,99.708,99.77,581636.0,5799867507.0
159112.SZ,科创债ETF银华,1760457600000,2025-10-15,2025-10-15 00:00:00,99.718,99.882,99.716,99.818,5049.0,50419560.0
159112.SZ,科创债ETF银华,1760544000000,2025-10-16,2025-10-16 00:00:00,99.8,99.865,99.8,99.865,622911.0,6220073192.0
159112.SZ,科创债ETF银华,1760630400000,2025-10-17,2025-10-17 00:00:00,99.81,99.95,99.81,99.95,454828.0,4544429255.0
159112.SZ,科创债ETF银华,1760889600000,2025-10-20,2025-10-20 00:00:00,99.902,99.982,99.89,99.941,227426.0,2273021681.0
159112.SZ,科创债ETF银华,1760976000000,2025-10-21,2025-10-21 00:00:00,99.897,99.946,99.897,99.939,603402.0,6030384999.0
159112.SZ,科创债ETF银华,1761062400000,2025-10-22,2025-10-22 00:00:00,99.998,100.048,99.969,99.979,408631.0,4085454940.0
159112.SZ,科创债ETF银华,1761148800000,2025-10-23,2025-10-23 00:00:00,99.984,100.023,99.963,99.995,258689.0,2586591662.0
